add-m,12,40,960,826300,860,0
add-yield-c,12,40,960,876400,912,0
add-c,12,40,960,926900,965,0
add-yield-m,12,80,1920,3492500,1819,0
add-m,12,80,1920,813700,423,0
add-yield-c,12,80,1920,893600,465,0
add-c,12,80,1920,946400,492,0
add-yield-m,12,100,2400,4350400,1812,0
add-m,12,100,2400,919300,383,0
add-yield-c,12,100,2400,896800,373,0
add-c,12,100,2400,898600,374,0
add-yield-m,12,1000,24000,40379300,1682,0
add-m,12,1000,24000,1312500,54,0
add-yield-c,12,1000,24000,857300,35,0
add-c,12,1000,24000,972200,40,0
add-yield-m,12,10000,240000,459958800,1916,0
add-m,12,10000,240000,21653000,90,0
add-yield-c,12,10000,240000,23416500,97,0
add-c,12,10000,240000,22750000,94,0
add-yield-s,1,10,20,157400,7870,0
add-s,1,10,20,151500,7575,0
add-yield-s,1,20,40,562500,14062,0
add-s,1,20,40,184700,4617,0
add-yield-s,1,40,80,261200,3265,0
add-s,1,40,80,148000,1850,0
add-yield-s,1,80,160,295500,1846,0
add-s,1,80,160,170300,1064,0
add-yield-s,1,100,200,321900,1609,0
add-s,1,100,200,152200,761,0
add-yield-s,1,1000,2000,1517000,758,0
add-s,1,1000,2000,182800,91,0
add-yield-s,1,10000,20000,15545900,777,0
add-s,1,10000,20000,393000,19,0
add-yield-s,2,10,40,196100,4902,0
add-s,2,10,40,168700,4217,0
add-yield-s,2,20,80,251400,3142,0
add-s,2,20,80,288500,3606,0
add-yield-s,2,40,160,285400,1783,0
add-s,2,40,160,186200,1163,0
add-yield-s,2,80,320,421800,1318,0
add-s,2,80,320,348700,1089,0
add-yield-s,2,100,400,960000,2400,0
add-s,2,100,400,245600,614,0
add-yield-s,2,1000,4000,3903700,975,0
add-s,2,1000,4000,191800,47,0
add-yield-s,2,10000,40000,35195800,879,0
add-s,2,10000,40000,758400,18,0
add-yield-s,4,10,80,379700,4746,0
add-s,4,10,80,304900,3811,0
add-yield-s,4,20,160,360500,2253,0
add-s,4,20,160,508900,3180,0
add-yield-s,4,40,320,588600,1839,0
add-s,4,40,320,349000,1090,0
add-yield-s,4,80,640,3110900,4860,0
add-s,4,80,640,366900,573,0
add-yield-s,4,100,800,783700,979,0
add-s,4,100,800,274600,343,0
add-yield-s,4,1000,8000,6665500,833,0
add-s,4,1000,8000,284300,35,0
add-yield-s,4,10000,80000,67186600,839,0
add-s,4,10000,80000,5894500,73,0
add-yield-s,8,10,160,576800,3605,0
add-s,8,10,160,604200,3776,0
add-yield-s,8,20,320,590400,1845,0
add-s,8,20,320,828200,2588,0
add-yield-s,8,40,640,712400,1113,0
add-s,8,40,640,547500,855,0
add-yield-s,8,80,1280,1641000,1282,0
add-s,8,80,1280,697400,544,0
add-yield-s,8,100,1600,1903900,1189,0
add-s,8,100,1600,571900,357,0
add-yield-s,8,1000,16000,16208100,1013,0
add-s,8,1000,16000,1070000,66,0
add-yield-s,8,10000,160000,162112000,1013,0
add-s,8,10000,160000,15664200,97,0
add-yield-s,12,10,240,1105900,4607,0
add-s,12,10,240,1039200,4330,0
add-yield-s,12,20,480,975400,2032,0
add-s,12,20,480,1104400,2300,0
add-yield-s,12,40,960,1100500,1146,0
add-s,12,40,960,919300,957,0
add-yield-s,12,80,1920,2276500,1185,0
add-s,12,80,1920,896100,466,0
add-yield-s,12,100,2400,10771800,4488,0
add-s,12,100,2400,870600,362,0
add-yield-s,12,1000,24000,110287000,4595,0
add-s,12,1000,24000,985600,41,0
add-yield-s,12,10000,240000,2525991400,10524,0
add-s,12,10000,240000,51090700,212,0
